ds,cargo,forecast_kt
2026-02-01,Нефтяные грузы,14476.264975554124
2026-03-01,Нефтяные грузы,15484.627978113907
2026-04-01,Нефтяные грузы,14558.735786370911
2026-05-01,Нефтяные грузы,14568.943339478754
2026-06-01,Нефтяные грузы,14242.194309629589
2026-07-01,Нефтяные грузы,14593.863699188214
2026-08-01,Нефтяные грузы,14496.03731481955
2026-09-01,Нефтяные грузы,14066.59475326324
2026-10-01,Нефтяные грузы,14773.252470476642
2026-11-01,Нефтяные грузы,14859.164266472546
2026-12-01,Нефтяные грузы,15457.080411516194
2027-01-01,Нефтяные грузы,14735.474389767423
2027-02-01,Нефтяные грузы,13955.245609230114
2027-03-01,Нефтяные грузы,14941.530586620218
2027-04-01,Нефтяные грузы,14060.888437198255
2027-05-01,Нефтяные грузы,14018.558792718133
2027-06-01,Нефтяные грузы,13694.801440844964
2027-07-01,Нефтяные грузы,14081.055095346139
2027-08-01,Нефтяные грузы,13963.672813096637
2027-09-01,Нефтяные грузы,13520.10820521141
2027-10-01,Нефтяные грузы,14113.072124075996
2027-11-01,Нефтяные грузы,14155.389375640958
2027-12-01,Нефтяные грузы,14716.518083328709
2028-01-01,Нефтяные грузы,14013.70653469359
2028-02-01,Нефтяные грузы,13320.71054469705
2028-03-01,Нефтяные грузы,14324.845520541616
2028-04-01,Нефтяные грузы,13538.51807333152
2028-05-01,Нефтяные грузы,13445.752961729442
2028-06-01,Нефтяные грузы,13063.818954983128
2028-07-01,Нефтяные грузы,13422.056401784712
2028-08-01,Нефтяные грузы,13241.754105248336
2028-09-01,Нефтяные грузы,12842.159880042016
2028-10-01,Нефтяные грузы,13363.209989641899
2028-11-01,Нефтяные грузы,13412.806268096752
2028-12-01,Нефтяные грузы,13924.292158799506
2029-01-01,Нефтяные грузы,13237.114901868994
2029-02-01,Нефтяные грузы,12557.75789933401
2029-03-01,Нефтяные грузы,13562.49400855973
2029-04-01,Нефтяные грузы,12739.456785605238
2029-05-01,Нефтяные грузы,12670.687271056966
2029-06-01,Нефтяные грузы,12278.138192891312
2029-07-01,Нефтяные грузы,12638.5276384456
2029-08-01,Нефтяные грузы,12539.131454499957
2029-09-01,Нефтяные грузы,12073.189282428346
2029-10-01,Нефтяные грузы,12612.161082781131
2029-11-01,Нефтяные грузы,12610.965708558977
2029-12-01,Нефтяные грузы,13075.36509007886
2030-01-01,Нефтяные грузы,12371.528367385165
2030-02-01,Нефтяные грузы,11677.982302388931
2030-03-01,Нефтяные грузы,12706.29549090055
2030-04-01,Нефтяные грузы,11937.838345707205
2030-05-01,Нефтяные грузы,11885.272890741506
2030-06-01,Нефтяные грузы,11526.02515345377
2030-07-01,Нефтяные грузы,11795.84763784852
2030-08-01,Нефтяные грузы,11698.558107049364
2030-09-01,Нефтяные грузы,11224.764046422817
