cargo,split,model,RMSE,MAE,MAPE,status
Удобрения,4,GradBoost,263.28380257760847,220.16139123752808,4.26197375406023,ok
Удобрения,4,RandomForest,298.55263257214176,245.25715968469277,4.773304406436695,ok
Удобрения,4,Ridge,534.8339902740273,430.14580840375265,8.57176841380323,ok
Удобрения,4,SARIMA,487.2701547263624,369.2479771049322,7.36614137766962,ok
Удобрения,4,ETS,273.4510722444937,218.21557772931087,4.284449550019163,ok
Удобрения,5,GradBoost,639.1797589478816,575.8944036175916,10.306761178755137,ok
Удобрения,5,RandomForest,494.6527521355076,436.6529552570825,7.789522190221078,ok
Удобрения,5,Ridge,197.0870251782344,154.73333805192,2.8712770505790335,ok
Удобрения,5,SARIMA,688.8237680367531,637.153450901141,11.447763165274656,ok
Удобрения,5,ETS,599.8475075680915,542.9053780240537,9.726296397688646,ok
Минерально-строит.,1,GradBoost,1873.6690200738697,1615.7120981041496,13.396974826542825,ok
Минерально-строит.,1,RandomForest,2203.391891893709,1842.234832618113,15.921388931400035,ok
Минерально-строит.,1,Ridge,1699.7878378397252,1404.9235617725242,11.303098138796628,ok
Минерально-строит.,1,SARIMA,1524.6076662608612,1351.8123352131308,10.439240927312936,ok
Минерально-строит.,1,ETS,1743.4029568012797,1488.2449246638535,11.336467948577761,ok
Минерально-строит.,2,GradBoost,1652.5513069256187,1255.9384523170177,9.507413484708515,ok
Минерально-строит.,2,RandomForest,1642.3924028833894,1302.1045777255788,9.95832242012794,ok
Минерально-строит.,2,Ridge,1526.1680755813486,1262.6813738895808,9.79200782830355,ok
Минерально-строит.,2,SARIMA,1492.3553506381452,1116.462354985806,9.767312686722933,ok
Минерально-строит.,2,ETS,1770.228610191951,1499.1716439612862,11.785288989982101,ok
Минерально-строит.,3,GradBoost,856.1015300260837,635.657991949519,4.685281384623739,ok
Минерально-строит.,3,RandomForest,738.6935183213185,578.4973153723253,4.378808983551843,ok
Минерально-строит.,3,Ridge,1091.9876545582695,900.7939631664461,7.480199568590693,ok
Минерально-строит.,3,SARIMA,992.9129199398154,835.6719133411331,6.878529820509625,ok
Минерально-строит.,3,ETS,1623.3935385827715,1434.3703478986872,11.011966187543177,ok
Минерально-строит.,4,GradBoost,841.9523540081558,629.5432172647372,4.988653247108054,ok
Минерально-строит.,4,RandomForest,605.533867397579,525.3087676069287,4.053424131329575,ok
Минерально-строит.,4,Ridge,1373.7605142419063,1066.8456274160778,8.615194327496873,ok
Минерально-строит.,4,SARIMA,850.6692518643163,700.784500970054,5.614216185260541,ok
Минерально-строит.,4,ETS,1033.942532757436,859.5475757749522,6.492229978158069,ok
Минерально-строит.,5,GradBoost,1575.5528559753623,1216.7474078189346,11.142992799129779,ok
